2023/06/26 10:51:44.453 [I]  init sec succ
2023/06/26 11:11:09.136 [E]  read data head Error
2023/06/26 11:11:19.272 [E]  read data head Error
2023/06/26 11:11:27.205 [E]  read data head Error
2023/06/26 11:55:12.925 [E]  read data head Error
2023/06/26 11:55:22.313 [E]  read data head Error
2023/06/26 11:55:41.518 [E]  read data head Error
2023/06/26 13:32:05.794 [E]  read data head Error
2023/06/26 13:32:08.161 [E]  read data head Error
2023/06/26 13:32:11.103 [E]  read data head Error
2023/06/26 13:34:42.546 [E]  read data head Error
2023/06/26 13:34:50.092 [E]  read data head Error
2023/06/26 13:34:57.241 [E]  read data head Error
2023/06/26 13:38:50.306 [E]  read data head Error
2023/06/26 13:38:57.224 [E]  read data head Error
2023/06/26 13:39:04.408 [E]  read data head Error
2023/06/26 13:41:22.152 [E]  read data head Error
2023/06/26 13:41:28.855 [E]  read data head Error
2023/06/26 13:41:37.910 [E]  read data head Error
2023/06/26 13:54:54.906 [E]  read data head Error
2023/06/26 13:55:06.106 [E]  read data head Error
2023/06/26 13:55:12.103 [E]  read data head Error
2023/06/26 13:55:15.858 [E]  read data head Error
2023/06/26 14:00:31.764 [E]  read data head Error
2023/06/26 14:03:00.648 [E]  read data head Error
2023/06/26 14:03:07.494 [E]  read data head Error
2023/06/26 14:56:12.759 [E]  read data head Error
2023/06/26 14:56:16.054 [E]  read data head Error
2023/06/26 14:56:20.115 [E]  read data head Error
2023/06/26 14:56:40.942 [E]  read data head Error
